Name,Value,Units,Default,State,Process,REF_ID,Comments
BINDING_CONSTANT_SL3,10000000,M^(-1),1,,Packaging,8,
BINDING_CONSTANT_SL4,1000000,M^(-1),1,,Packaging,8,
GAGNC_DISS_RATE,0.01,,1,,Packaging,,Fittable made-up parameter
GAG_DIFFUSION_PROB,0.1,1/min,1,,Packaging,"10,13",
GAG_DIMER_DIFFUSION_PROB,0.079,,1,,Packaging,,"Assuming a spherical stucture (this is not true--approximation!!), and that the dimer has twice the mass of the monomer, the diffusion rate of the dimer would be slower (factor inversely proportional to the cube root of the mass ratio). "
GAG_DIAMETER,37.5*(10**-10),m,1,,Packaging,11,"Gag is NOT globular/spherical. It is 34A x 41A, so just using mean here as an approximation. "
PROB_GAG_BOUND_RNA_DIMERS,1,,1,,Packaging,,"fittable parameter, currently  set to be not limiting at all"
AVE_GAG_PER_VIRON,2500,molecules,1,ViralProgeny,,14,
GAG_DIMER_DIFFUSION_FOLD_CHANGE,0.79,,1,ViralProgeny,,,
GAG_LATERAL_DIFFUSION_FOLD_CHANGE,0.1,,1,ViralProgeny,,,fittable parameter
THRESH_NUCLEATE_TO_STICK_TO_MEM,9,,1,ViralProgeny,,,"fittable parameter, below this number of Gags, a puncta can fall off the membrane and dissociate"
PROB_RNA_NUCLEATE_TRANSLOCATION,0.0523,1/min,1,ViralProgeny,,,"fittable parameter, currently approx from the gag diffusion value"
AVE_VIF_PER_VIRON,54,molecules,1,ViralProgeny,,16,
AVE_GAGPROPOL_PER_VIRON,125,molecules,1,ViralProgeny,,17,
AVE_VPR_PER_VIRON,357,molecules,1,ViralProgeny,,18,
AVE_NEF_PER_VIRON,12,molecules,1,ViralProgeny,,,
VIRON_EXPONENTIAL_GROWTH_CONSTANT,4000,,1,ViralProgeny,,,fittable parameter
NUCLEATE_DISS_RATE,0.125,1/min,1,ViralProgeny,,15,
MAX_NUM_OF_PROGENY,10000,,1,ViralProgeny,,,number is an upper bound on the max num of progeny that will be created in a simulation; parameter is used to pre-allocate memory to progeny and optimize record saving
PROB_PROTEIN_DEG_MEM,0.0029/2,1/min,1,,Degradation,2,currently set to half that of PROB_PROTEIN_DEG_CYT
GAG_VELOCITY,0,m/min,1,,Packaging,,"value is dependent on the value of other parameters; currently set to zero, since unclear whether monomer or dimer moves to membrane"
